file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-video\android\src\main\java\com\brentvatne\exoplayer\RawResourceDataSourceFactory.java,com.brentvatne.exoplayer.RawResourceDataSourceFactory,createDataSource/0,false,17,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-video\android\src\main\java\com\brentvatne\exoplayer\RawResourceDataSourceFactory.java,com.brentvatne.exoplayer.RawResourceDataSourceFactory,RawResourceDataSourceFactory/1[com.brentvatne.exoplayer.Context],true,12,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-video\android\src\main\java\com\google\ads\interactivemedia\v3\api\AdEvent.java,com.google.ads.interactivemedia.v3.api.AdEvent,getAdData/0,false,9,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-video\android\src\main\java\com\google\ads\interactivemedia\v3\api\AdEvent.java,com.google.ads.interactivemedia.v3.api.AdEvent,getType/0,false,8,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-video\examples\exampletvOS\android\app\src\debug\java\com\exampletvos\ReactNativeFlipper.java,com.exampletvos.ReactNativeFlipper,"initializeFlipper/2[com.exampletvos.Context,com.exampletvos.ReactInstanceManager]",false,32,11,1,1,0,3,8,36,0,3,2,8,0,0,0,1,0,0,0,0,3,0,2,2,0,0,29,9,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-video\examples\video-caching\android\app\src\main\java\com\videocaching\MainActivity.java,com.videocaching.MainActivity,getMainComponentName/0,false,12,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,true
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-video\android\src\main\java\com\google\ads\interactivemedia\v3\api\AdErrorEvent.java,com.google.ads.interactivemedia.v3.api.AdErrorEvent,getError/0,false,4,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-video\android\src\main\java\com\brentvatne\common\react\VideoEventEmitter.java,com.brentvatne.common.react.VideoEventEmitter,"receiveEvent/2[java.lang.String,com.brentvatne.common.react.WritableMap]",false,463,3,27,27,0,2,4,6,0,1,2,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,13,2,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-video\android\src\main\java\com\brentvatne\common\react\VideoEventEmitter.java,com.brentvatne.common.react.VideoEventEmitter,"load/8[double,double,int,int,com.brentvatne.common.react.WritableArray,com.brentvatne.common.react.WritableArray,com.brentvatne.common.react.WritableArray,java.lang.String]",false,252,3,2,0,2,1,8,19,0,2,8,8,2,1,0,0,0,0,0,2,2,2,0,0,0,0,16,0,0,false
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\react-native-video\android\src\main\java\com\brentvatne\common\react\VideoEventEmitter.java,com.brentvatne.common.react.VideoEventEmitter,audioTracks/1[java.util.ArrayList<com.brentvatne.common.react.Track>],false,282,2,4,1,3,1,3,3,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
