file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\gb28181\bean\RecordItem.java,com.genersoft.iot.vmp.gb28181.bean.RecordItem,class,3,8,5,3,23,1,0,5,186,0.9,0.0,0.0,21,0,21,0,0,0,21,0,0,0,10,0,0,10,0,0,0,0,4,87,13,0,0,0,0,11,3,14,0,14,1,0,0,0,36,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\jt1078\util\Bin.java,com.genersoft.iot.vmp.jt1078.util.Bin,class,1,3,2,1,7,1,0,3,1,0.5,0.0,0.0,2,2,2,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,23,2,2,1,0,1,1,7,8,2,5,2,0,0,0,15,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\service\ICloudRecordService.java,com.genersoft.iot.vmp.service.ICloudRecordService,interface,6,9,3,6,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\jt1078\proc\response\J8100.java,com.genersoft.iot.vmp.jt1078.proc.response.J8100,class,3,4,1,3,4,2,0,4,0,0.625,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,1,1,0,0,3,1,0,0,22,1,0,0,0,0,1,1,5,0,5,0,0,0,0,22,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\gb28181\transmit\event\request\impl\message\query\cmd\CatalogQueryMessageHandler.java,com.genersoft.iot.vmp.gb28181.transmit.event.request.impl.message.query.cmd.CatalogQueryMessageHandler,class,20,22,2,20,10,2,0,29,6,0.84375,0.0,0.0,4,0,3,1,0,0,3,0,0,0,8,0,0,8,0,0,1,0,0,62,1,0,0,2,0,8,6,10,0,16,2,0,0,0,61,1,2
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\media\zlm\dto\hook\OnServerKeepaliveHookParam.java,com.genersoft.iot.vmp.media.zlm.dto.hook.OnServerKeepaliveHookParam,class,2,3,1,2,3,2,0,0,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,2,0,0,0,0,2,0,1,2,1,0,0,0,0,13,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\service\impl\StreamProxyServiceImpl.java,com.genersoft.iot.vmp.service.impl.StreamProxyServiceImpl,class,39,40,1,39,100,1,0,127,31,0.8390094,0.0,0.0,19,0,16,3,0,0,16,0,0,0,17,1,0,15,0,2,1,0,8,446,29,7,39,2,0,77,29,84,8,88,7,0,0,4,142,1,12
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\gb28181\transmit\event\request\impl\message\query\cmd\DeviceInfoQueryMessageHandler.java,com.genersoft.iot.vmp.gb28181.transmit.event.request.impl.message.query.cmd.DeviceInfoQueryMessageHandler,class,18,19,1,18,7,2,0,17,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,5,0,0,5,0,0,1,0,1,39,2,0,1,2,0,8,0,7,1,9,2,0,0,0,50,1,4
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\gb28181\bean\HomePositionRequest.java,com.genersoft.iot.vmp.gb28181.bean.HomePositionRequest,class,2,3,1,2,6,1,0,0,9,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,46,3,0,0,0,0,3,0,3,0,3,0,0,1,0,12,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\wvp-GB28181-pro\src\main\java\com\genersoft\iot\vmp\gb28181\bean\PlatformCatalog.java,com.genersoft.iot.vmp.gb28181.bean.PlatformCatalog,class,1,11,10,1,19,1,0,0,137,0.875,0.0,0.0,19,0,19,0,0,0,19,0,0,0,8,0,0,8,0,0,0,0,0,67,8,0,0,0,0,9,3,11,0,8,0,0,0,0,27,1,0
